time_now,day_night,optical_density,transmittance,od_raw,temperature,light_intensity_a,light_intensity_rpi,fm,fo,fj,fi,vj,fm_fi,fi_fj,fj_fo,fi_fo,fm_fj,variable_fluorescence,quantum_yield
13/09/2019 02:41:02,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.93939393939394,0.670654936461388,1.54400782013685,1.87683284457478,0.69,0.0625610948191593,0.332825024437928,0.873352883675464,1.20617790811339,0.395386119257087,1.26873900293255,0.65
13/09/2019 02:51:03,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.95190615835777,0.670654936461388,1.56152492668622,1.88934506353861,0.7,0.0625610948191593,0.327820136852395,0.890869990224829,1.21869012707722,0.390381231671554,1.28125122189638,0.66
13/09/2019 03:01:02,Night,0.294,50.81,440.0,-11.44,210.0,188.0,1.95941348973607,0.670654936461388,1.56402737047898,1.89184750733138,0.69,0.0675659824046919,0.327820136852395,0.893372434017595,1.22119257086999,0.395386119257087,1.28875855327468,0.66
13/09/2019 03:11:03,Night,0.294,50.81,440.0,-11.44,210.0,188.0,1.96692082111437,0.678162267839687,1.56903225806452,1.91186705767351,0.69,0.0550537634408601,0.342834799608993,0.890869990224829,1.23370478983382,0.397888563049853,1.28875855327468,0.66
13/09/2019 03:21:02,Night,0.299,50.23,435.0,-11.54,211.0,188.0,1.9719257086999,0.675659824046921,1.57653958944282,1.92187683284457,0.69,0.0500488758553275,0.34533724340176,0.900879765395894,1.24621700879765,0.395386119257087,1.29626588465298,0.66
13/09/2019 03:31:03,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.97693059628544,0.675659824046921,1.56903225806452,1.92187683284457,0.69,0.0550537634408603,0.352844574780059,0.893372434017595,1.24621700879765,0.407898338220919,1.30127077223851,0.66
13/09/2019 03:41:02,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.98193548387097,0.670654936461388,1.56903225806452,1.91687194525904,0.69,0.0650635386119256,0.347839687194526,0.898377321603128,1.24621700879765,0.412903225806452,1.31128054740958,0.66
13/09/2019 03:51:03,Night,0.294,50.81,440.0,-11.54,211.0,188.0,1.98193548387097,0.675659824046921,1.57653958944282,1.93188660801564,0.69,0.0500488758553275,0.355347018572825,0.900879765395894,1.25622678396872,0.405395894428153,1.30627565982405,0.66
13/09/2019 04:01:02,Night,0.299,50.23,435.0,-11.44,211.0,188.0,1.98193548387097,0.670654936461388,1.56903225806452,1.92938416422287,0.69,0.0525513196480938,0.360351906158358,0.898377321603128,1.25872922776149,0.412903225806452,1.31128054740958,0.66
13/09/2019 04:11:03,Night,0.294,50.81,440.0,-11.44,210.0,188.0,1.98443792766373,0.673157380254154,1.55902248289345,1.93188660801564,0.68,0.052551319648094,0.37286412512219,0.885865102639296,1.25872922776149,0.425415444770284,1.31128054740958,0.66
13/09/2019 04:21:02,Night,0.294,50.81,440.0,-11.44,210.0,188.0,1.99194525904203,0.675659824046921,1.57153470185728,1.93939393939394,0.68,0.0525513196480938,0.367859237536657,0.895874877810362,1.26373411534702,0.420410557184751,1.31628543499511,0.66
13/09/2019 04:31:03,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.99194525904203,0.663147605083089,1.56152492668622,1.93689149560117,0.68,0.0550537634408601,0.375366568914956,0.898377321603128,1.27374389051808,0.430420332355816,1.32879765395894,0.67
13/09/2019 04:41:03,Night,0.294,50.81,440.0,-11.44,210.0,188.0,1.9944477028348,0.675659824046921,1.57153470185728,1.93939393939394,0.68,0.0550537634408601,0.367859237536657,0.895874877810362,1.26373411534702,0.422913000977517,1.31878787878788,0.66
13/09/2019 04:51:02,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.99194525904203,0.670654936461388,1.56402737047898,1.93939393939394,0.68,0.0525513196480938,0.375366568914956,0.893372434017595,1.26873900293255,0.42791788856305,1.32129032258065,0.66
13/09/2019 05:01:02,Night,0.294,50.81,440.0,-11.44,211.0,188.0,1.99695014662757,0.663147605083089,1.56152492668622,1.94439882697947,0.67,0.0525513196480938,0.382873900293255,0.898377321603128,1.28125122189638,0.435425219941349,1.33380254154448,0.67
